voyageid,departure,purchase,arrival,year,embarked,disembarked
90609.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756.0,40.0,31.0
90612.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1758.0,166.0,133.0
90616.0,Liverpool,"Windward Coast, port unspecified","Montserrat, port unspecified",1760.0,282.0,250.0
90625.0,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1756.0,230.0,197.0
90637.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1757.0,180.0,160.0
90644.0,Liverpool,"Windward Coast, port unspecified",NA,1756.0,70.0,62.0
90651.0,Liverpool,"Windward Coast, port unspecified",NA,1756.0,50.0,43.0
90653.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1757.0,148.0,127.0
90666.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1757.0,171.0,151.0
90667.0,Liverpool,"Windward Coast, port unspecified",Charleston,1758.0,228.0,186.0
90671.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1757.0,170.0,151.0
90675.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1757.0,700.0,599.0
90676.0,Liverpool,"Windward Coast, port unspecified",St. Eustatius,1757.0,98.0,87.0
90690.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1758.0,203.0,201.0
90691.0,Liverpool,"Windward Coast, port unspecified","Tortola, port unspecified",1759.0,250.0,214.0
90722.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1764.0,148.0,131.0
90732.0,Liverpool,"Windward Coast, port unspecified","Antigua, port unspecified",1759.0,158.0,140.0
90746.0,Liverpool,"Windward Coast, port unspecified","Virginia, port unspecified",1758.0,139.0,123.0
90749.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1759.0,120.0,122.0
90757.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1758.0,328.0,268.0
82482.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1781.0,202.0,185.0
82586.0,London,"Windward Coast, port unspecified","Jamaica, port unspecified",1792.0,187.0,171.0
82703.0,Liverpool,"Windward Coast, port unspecified",Havana,1802.0,263.0,236.0
83784.0,London,"Windward Coast, port unspecified","Trinidad, port unspecified",1803.0,310.0,279.0
91797.0,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1772.0,368.0,300.0
91798.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1772.0,352.0,287.0
91801.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1771.0,230.0,197.0
91819.0,Liverpool,"Windward Coast, port unspecified",Charleston,1773.0,230.0,197.0
91827.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1772.0,352.0,287.0
91863.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1772.0,171.0,151.0
91870.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1775.0,352.0,287.0
91896.0,Liverpool,"Windward Coast, port unspecified",Charleston,1773.0,124.0,106.0
91906.0,Liverpool,"Windward Coast, port unspecified",Charleston,1774.0,230.0,197.0
91918.0,Liverpool,"Windward Coast, port unspecified",NA,1773.0,102.0,92.0
91926.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1774.0,214.0,175.0
91928.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1777.0,359.0,328.0
91942.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1776.0,359.0,328.0
91972.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1774.0,270.0,220.0
91973.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1775.0,206.0,168.0
91993.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1776.0,214.0,197.0
92004.0,Liverpool,"Windward Coast, port unspecified","Dominica, port unspecified",1774.0,230.0,197.0
92019.0,Liverpool,"Windward Coast, port unspecified","Tortola, port unspecified",1775.0,230.0,197.0
92391.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1729.0,163.0,134.0
92414.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1775.0,117.0,100.0
92442.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1776.0,359.0,328.0
92483.0,Liverpool,"Windward Coast, port unspecified","South Carolina, port unspecified",1777.0,356.0,326.0
92516.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1777.0,359.0,328.0
92529.0,Liverpool,"Windward Coast, port unspecified","British Caribbean, colony unspecified",1777.0,210.0,195.0
92542.0,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1776.0,210.0,195.0
